Date,Price,Open,High,Low,Vol.,Change %,Volume
11/6/2018,288.53,274.8,289,271.4,0.83K,5.00%,830
11/5/2018,274.8,276.81,277.1,269.54,0.55K,-0.73%,550
11/4/2018,276.81,259.85,281.83,259.48,0.45K,6.53%,450
11/3/2018,259.85,262.17,262.89,259.51,0.24K,-0.88%,240
11/2/2018,262.17,258.01,390.11,256.57,1.23K,1.61%,1230
11/1/2018,258.01,257.67,259.97,253.91,0.39K,0.13%,390
10/31/2018,257.67,256.97,260.98,252.39,0.68K,0.27%,680
10/30/2018,256.97,256,258.36,250.69,0.73K,0.38%,730
10/29/2018,256,264,264,254.16,0.38K,-3.03%,380
10/28/2018,264,263.7,264,261.81,0.04K,0.11%,40
10/27/2018,263.7,262.01,263.7,259,0.30K,0.65%,300
10/26/2018,262.01,258.75,263.7,231,0.44K,1.26%,440
10/25/2018,258.75,260.5,263,155,0.72K,-0.67%,720
10/24/2018,260.5,262.36,263.68,255.33,0.30K,-0.71%,300
10/23/2018,262.36,263.32,263.7,253.55,0.57K,-0.36%,570
10/22/2018,263.32,264.31,264.52,260.47,0.11K,-0.37%,110
10/21/2018,264.31,265.35,267.21,262.59,0.12K,-0.39%,120
10/20/2018,265.35,260.6,267.99,260.42,0.14K,1.82%,140
10/19/2018,260.6,260.59,262.67,227,0.48K,0.00%,480
10/18/2018,260.59,267,270,257,0.38K,-2.40%,380
10/17/2018,267,265.01,269.93,261.78,0.37K,0.75%,370
10/16/2018,265.01,271.97,271.97,225,0.45K,-2.56%,450
10/15/2018,271.97,250.29,284.97,250.29,0.65K,8.66%,650
10/14/2018,250.29,259,259.71,250,0.12K,-3.36%,120
10/13/2018,259,255.71,259.15,253.8,0.12K,1.29%,120
10/12/2018,255.71,248.47,260,244.31,0.33K,2.91%,330
10/11/2018,248.47,289.72,289.98,240,0.85K,-14.24%,850
10/10/2018,289.72,290.27,290.27,278.06,0.28K,-0.19%,280
10/9/2018,290.27,286.94,291.99,284.76,0.13K,1.16%,130
10/8/2018,286.94,282.77,290.37,280.57,0.03K,1.47%,30
10/7/2018,282.77,282.95,283.28,274.88,0.02K,-0.06%,20
10/6/2018,282.95,286,288.99,273,0.22K,-1.07%,220
10/5/2018,286,271.4,289.12,267.78,0.34K,5.38%,340
10/4/2018,271.4,280,287.51,267.53,0.57K,-3.07%,570
10/3/2018,280,289.46,290.82,273.52,0.21K,-3.27%,210
10/2/2018,289.46,293.07,297.03,284.58,0.32K,-1.23%,320
10/1/2018,293.07,295.96,299.73,289,0.12K,-0.98%,120
9/30/2018,295.96,298.42,306.09,290.73,0.04K,-0.82%,40
9/29/2018,298.42,285.72,303.65,277.56,0.20K,4.44%,200
9/28/2018,285.72,294.52,299.49,276.12,0.25K,-3.47%,250
9/27/2018,296,280.94,344.99,276.49,0.26K,5.36%,260
9/26/2018,280.94,283.51,287.57,270.34,0.10K,-0.91%,100
9/25/2018,283.51,297.11,297.11,265.83,0.34K,-4.58%,340
9/24/2018,297.11,315,318.57,291.94,0.29K,-5.68%,290
9/23/2018,315,310.45,355,306,0.43K,1.47%,430
9/22/2018,310.45,318.03,323.39,304.25,0.29K,-2.38%,290
9/21/2018,318.03,288,318.5,281.04,0.31K,10.43%,310
9/20/2018,288,268,288,261.92,0.43K,7.46%,430
9/19/2018,268,271.67,273.66,253.06,0.24K,-1.35%,240
9/18/2018,271.67,258.96,277.01,252.8,0.40K,4.91%,400
9/17/2018,258.96,288.86,291,253.87,0.12K,-10.35%,120
9/16/2018,288.86,291.53,291.53,271.65,0.17K,-1.54%,170
9/15/2018,293.38,274,300,273.15,0.28K,7.07%,280
9/14/2018,274,276.2,288.34,259.94,0.46K,-0.80%,460
9/13/2018,276.2,239.73,278.88,239.73,0.59K,15.21%,590
9/12/2018,239.73,243.02,243.14,211.84,1.23K,-1.35%,1230
9/11/2018,243.02,261.27,263.64,210,0.39K,-6.99%,390
9/10/2018,261.27,260.78,305,244.68,0.33K,0.19%,330
9/9/2018,260.78,255.81,275,246.39,0.35K,1.94%,350
9/8/2018,255.81,285.53,289.98,254,0.24K,-10.41%,240
9/7/2018,285.53,301.15,307.51,279.16,0.23K,-5.19%,230
9/6/2018,301.15,296.67,304.23,278.45,0.49K,1.51%,490
9/5/2018,296.67,374.13,376.53,296.67,0.46K,-20.70%,460
9/4/2018,374.13,378.4,383,367.77,0.28K,-1.13%,280
9/3/2018,378.4,385.38,389.22,374.94,0.21K,-1.81%,210
9/2/2018,385.38,388,389.13,380,0.20K,-0.68%,200
9/1/2018,388,373.09,395,370.09,0.17K,4.00%,170
8/31/2018,373.09,368.25,373.09,362.29,0.09K,1.31%,90
8/30/2018,368.25,375.63,376.75,350.28,0.25K,-1.96%,250
8/29/2018,375.63,386.31,388.37,370.52,0.41K,-2.76%,410
8/28/2018,386.31,370,389.72,370,0.21K,4.41%,210
